Row,mr,Overall,Prevent,Detect,Respond,Health,Norms,Risk,Covid,BUAPC,UP,MA,IM,GDP,HDI,IE,RE,CH,AL,OB,SM,CD,RBP,IN,BCG,ON,PL
Egypt,-2.78573344797091,3.4170995551716,36.5,41.5,3.55689330449006,3.96232255123179,6.81175454637056,3306.25,6.03133579684077,5.68490636766341,1823.631616,24.1,-2.89591193827178,8.01301211036892,-0.509901951359279,-1705.65998956416,-1.40325687275382,-0.921954445729289,0.4,-1.77495235091167,21.4,3.02570504705218,5,-6,-2,3.13549421592915,4.443981964999
Spain,-2.01150743154113,4.03919795861678,52.9,83,3.95576256590773,7.72010362624751,7.81664889834512,5944.41,7.9968743894099,8.90773706998585,6451.463041,43.9,-0.916290731874155,10.2960025014687,-0.254950975679639,-1587.1710682847,-3.1360398778598,-0.670820393249936,12.7,-2.64617479738412,27.9,2.14722916901894,4.38178046004133,-6.34034699365894,-2,2.63905732961526,2.29412923291442
Estonia,-3.42248810447104,3.8485011312768,47.6,77.6,3.60882608013869,5.62138772902208,8.22192191643779,5372.89,7.3110292999883,11.7664869320881,4744.4544,43.7,-0.741937344729377,10.0715411375324,-0.291547594742265,-1643.03286637852,-3.70912692966011,-0.632455532033675,9.2,-2.81540871942271,30.5,2.57128159065824,5.23450093132096,-5.91607978309962,-2.64575131106459,3.40119738166216,1.93739234599336
Ethiopia,-4.15786795790452,3.43696685946538,36.8,33.7,3.54897146689578,5.3851648071345,8.1117199162693,1128.96,5.47454926502378,4.42270245828751,431.102169,19.8,-3.66612246699132,6.75460409948796,-0.702139587261678,-1602.84434677856,-0.215813864808707,-1.20415945787923,2.4,-3.50855589998265,4.6,2.63522092227424,5.50454357780915,-7.21803297304744,-3.74165738677394,3.40119738166216,3.64519887682487
Finland,-3.05504885071041,4.09561299545871,68.5,61.6,4.10552497263297,7.79743547584717,8.68331733843696,6577.21,8.52578914000165,11.357723866955,7290.085924,42.8,-0.336472236621213,10.7931467934094,-0.189736659610103,-1627.60928972527,-0.906657397643744,-0.591607978309961,10.8,-2.75366071235426,19.7,2.1687028852502,4.40454310910905,-7.09929573971954,-2,3.29583686600433,1.78963900438069
France,-1.4242255834433,4.08565280780468,71.2,75.3,3.97695077171243,7.80384520605067,7.65506368360186,6889,7.49240995251539,10.9176793312498,6471.237136,41.7,-1.22377543162212,10.6089090939715,-0.234520787991171,-1592.63178418616,-0.5991321462399,-0.547722557505166,12.3,-2.79116510781272,34.6,2.19668923502774,4.69041575982343,-6.1400325732035,-2,2.70805020110221,2.49629724411873
Gabon,-5.07698668711717,2.71441761659491,10.8,6.1,2.7412947864932,3.3466401061363,6.04152298679729,1831.84,3.64833452791629,8.62854764428522,7986.9969,21,-3.48737507790321,8.94468068355889,-0.503984126734166,-1644.02281006074,-3.45392102088647,-0.894427190999915,8.7,-3.13113691056019,23.5,2.43288079822936,5.04975246918104,-6.45755371638518,-3.46410161513775,3.8286413964891,3.77545862262118
United Kingdom,-1.76632457208023,4.27083197831935,68.3,87.3,4.51272120574188,7.73304597167248,9.01110426085505,5580.09,8.65295112770151,11.6062461621318,6955.226404,40.6,-1.28093384546206,10.6525423650344,-0.184390889145858,-1648.97301372703,-1.6628231577906,-0.447213595499957,11.4,-2.31253542384721,19.2,2.21722023096663,3.89871773792359,-5.57673739743947,-2,2.63905732961526,2.36570207265764
Georgia,-4.13181918839896,3.73251115681725,53.2,75,3.33522115286161,6.18869937870632,7.48331477354788,2641.96,6.52871640761295,7.55744717788355,3437.711424,38.6,-2.16332302566054,8.46989191829822,-0.419523539268061,-1664.06490258043,-2.92777441909702,-0.974679434480896,8.2,-2.78501124223834,29.7,2.92011383805892,5.12835256198323,-7,-1.4142135623731,3.2188758248682,3.11854937744445
Ghana,-5.02943188509028,3.28656922572121,32.2,40.5,3.15817979882819,4.83735464897913,6.16441400296898,2601,5.19460374292178,10.5903161142149,3142.7236,21.4,-3.55248682920838,7.69712131728263,-0.603324125159934,-1664.06490258043,-3.24116053442095,-1.24498995979887,2.8,-3.29583686600433,3.7,2.75013773414828,4.86826457785523,-6.72309452558864,-1,3.71357206670431,3.50531864446326
