Country	OVERALL SCORE	1) PREVENTION OF THE EMERGENCE OR RELEASE OF PATHOGENS	2) EARLY DETECTION & REPORTING FOR EPIDEMICS OF POTENTIAL INT'L CONCERN	3) RAPID RESPONSE TO AND MITIGATION OF THE SPREAD OF AN EPIDEMIC	4) SUFFICIENT & ROBUST HEALTH SECTOR TO TREAT THE SICK & PROTECT HEALTH WORKERS	"5) COMMITMENTS TO IMPROVING NATIONAL CAPACITY, FINANCING AND ADHERENCE TO NORMS"	6) OVERALL RISK ENVIRONMENT AND COUNTRY VULNERABILITY TO BIOLOGICAL THREATS
Philippines	45.7	27.7	52.6	38.8	46.5	55.9	52.8
Poland	55.7	43.5	42.5	53.3	52.7	72.2	70.1
Portugal	54.7	52.8	42.6	41.5	53.9	59.7	77.5
Qatar	48.7	36.4	39.7	55.2	42.4	46.7	71.7
Romania	45.7	39	44	24.7	47.9	55.6	63.3
Russia	49.1	45.5	43.6	44.7	58.9	51.4	50.5
Rwanda	33.1	25.4	34.6	30.5	18.5	39.4	50.1
Samoa	28.8	10.6	4.2	38.2	11.7	43.6	64.3
San Marino	32.9	17.4	21.4	36.6	28.6	18.8	74.7
Sao Tome and Principe	26.6	14.4	7.9	32.1	25.2	33.9	46
Saudi Arabia	44.9	33.4	52.1	32.7	40.7	49.5	61.2
Senegal	32.8	11	28.3	41.3	14.6	54	47.8
Serbia	45	44	28.6	36.3	50.9	51.4	58.5
Seychelles	31.8	8.6	18.8	32.5	18.2	45.7	67.3
Sierra Leone	32.7	9	31.4	37.3	31	47.2	40.3
Singapore	57.4	46.8	61.1	61.3	47.3	48.6	79.5
Slovakia	54.4	51.3	37.1	43.7	62.7	59.7	72.2
Slovenia	67.8	65.7	70.8	59.9	72.8	63.9	73.4
Solomon Islands	23.3	1.1	4.2	31.6	18.9	38.5	45.2
Somalia	16	11.4	11.7	25.8	1.3	21.9	23.6
South Africa	45.8	32.1	50	62	29.2	43.1	58.5
South Korea	65.4	48.8	73.8	65	62.5	69.4	73.1
South Sudan	21.3	12.1	14.6	25.4	19.5	31.3	25.1
Spain	60.9	47.5	70.8	54.6	52.9	63.9	75.6
Sri Lanka	34.1	21.7	35.6	26.2	16.1	39.6	65.5
St Kitts & Nevis	31.7	16.7	10.1	37.3	9.1	53	64.1
St Lucia	34.7	14	20.6	40.1	14.4	56.1	62.7
St Vincent & The Grenadines	33.5	17.1	9.4	37.2	29.8	48.3	59
Sudan	28.3	22.5	15.8	42.9	12.8	41.7	34.1
Suriname	35	14.8	24.2	54.5	21.3	44.8	50.5
Sweden	64.9	77.3	62.5	39.8	53.5	73.6	82.7
Switzerland	58.8	50.2	42.5	64.9	50.9	59.7	84.6
Syria	16.7	12.9	4.2	18	13.4	24.5	27.4
Tajikistan	29.3	22.1	10.6	29.3	24.8	41.1	48
Tanzania	31.3	15.4	25.6	26.4	11	58.9	50.5
Thailand	68.2	59.7	91.5	67.3	64.7	68.9	57.2
Timor-Leste	27.8	16.7	24.6	24	12.1	41.5	48
Togo	27.8	10.2	34.6	27	13.8	38.5	42.6
Tonga	26.4	16.9	8.3	33.6	8.9	31.1	59.2
Trinidad and Tobago	36.8	22.3	12.6	43.2	33.7	46.4	62.7
Tunisia	31.5	21.9	20.4	41.9	13	33.7	57.7
Turkey	50	51.1	41.4	36.6	53.9	59.7	57.2
Taiwan	47.5	43.9	48.5	38.5	51.8	38.9	63.4
Turkmenistan	31.9	22.1	27.6	21.8	30.6	38	51.1
Tuvalu	20	4.2	0	24	8.3	28.1	55.5
Uganda	36.5	19.5	35.6	33.8	20.4	67.2	42.4
Ukraine	38.9	31.4	32.8	26.1	49.1	47.2	46.7
United Arab Emirates	39.6	39	22.6	37.5	19.5	43.9	74.7
United Kingdom	67.2	63.5	70.8	64.8	68.3	62.5	73
United States	75.9	79.4	80.1	65.7	75.2	81.9	73.3
Uruguay	40.3	45.3	15	37.7	36.3	33.9	73.6
Uzbekistan	39	40.6	18.5	28.6	30.3	62.8	53.3
Vanuatu	25.9	8.3	6.8	29.5	13	42.2	55.8
Venezuela	20.9	13	4.2	25.4	18.1	30.2	34.7
Vietnam	42.9	40.3	55.1	30.6	24	53.3	53.9
Yemen	16.1	0.8	4.2	17.5	12	37.5	24.9
Zambia	26.5	5.6	19.3	34.9	21.1	34.4	43.5
Zimbabwe	32.4	18.1	40.4	31.4	16.8	42.7	44.9
